"","name","y_rmse","mean1","mean2","var1","var2"
"138","var",3.53593640726671,6.92615384615385,-0.01,1,1
"139","y1",6.99409318919358,6.92615384615385,-0.01,1,1
"140","y2",0.991794150476835,6.92615384615385,-0.01,1,1
"141","rmse",1.22698458260004,7.18230769230769,-0.01,1,1
"142","unif",3.66143825064001,7.18230769230769,-0.01,1,1
"143","var",3.66537208726855,7.18230769230769,-0.01,1,1
"144","y1",7.25950030967667,7.18230769230769,-0.01,1,1
"145","y2",0.987359707397433,7.18230769230769,-0.01,1,1
"146","rmse",1.23598945760496,7.43846153846154,-0.01,1,1
"147","unif",3.78127234255624,7.43846153846154,-0.01,1,1
"148","var",3.78038829400158,7.43846153846154,-0.01,1,1
"149","y1",7.50304242793546,7.43846153846154,-0.01,1,1
"150","y2",0.992552690475008,7.43846153846154,-0.01,1,1
"151","rmse",1.23075266556203,7.69461538461539,-0.01,1,1
"152","unif",3.88757718274582,7.69461538461539,-0.01,1,1
"153","var",3.87265299347681,7.69461538461539,-0.01,1,1
"154","y1",7.73682493139158,7.69461538461539,-0.01,1,1
"155","y2",0.995069707398859,7.69461538461539,-0.01,1,1
"156","rmse",1.24656821870941,7.95076923076923,-0.01,1,1
"157","unif",4.03842841448281,7.95076923076923,-0.01,1,1
"158","var",4.04413274823351,7.95076923076923,-0.01,1,1
"159","y1",8.00904180611455,7.95076923076923,-0.01,1,1
"160","y2",0.986333620136954,7.95076923076923,-0.01,1,1
"161","rmse",1.2550154420259,8.20692307692308,-0.01,1,1
"162","unif",4.16647119742292,8.20692307692308,-0.01,1,1
"163","var",4.17746748863835,8.20692307692308,-0.01,1,1
"164","y1",8.28067290966167,8.20692307692308,-0.01,1,1
"165","y2",0.99829410082561,8.20692307692308,-0.01,1,1
"166","rmse",1.26172503186241,8.46307692307692,-0.01,1,1
"167","unif",4.28134134880786,8.46307692307692,-0.01,1,1
"168","var",4.27800270922666,8.46307692307692,-0.01,1,1
"169","y1",8.51355569480027,8.46307692307692,-0.01,1,1
"170","y2",1.00204592834315,8.46307692307692,-0.01,1,1
"171","rmse",1.25533887323487,8.71923076923077,-0.01,1,1
"172","unif",4.41787953298331,8.71923076923077,-0.01,1,1
